Timestamp,Source IP,Destination IP,Hostname,Protocol,Port
2025-10-21 13:00:57,156.143.60.181,52.182.143.214,Unknown,TCP,443
2025-10-21 13:00:57,156.143.60.181,52.182.143.214,Unknown,TCP,443
2025-10-21 13:00:57,52.182.143.214,156.143.60.181,Unknown,TCP,50743
2025-10-21 13:00:57,52.182.143.214,156.143.60.181,Unknown,TCP,50743
2025-10-21 13:00:57,52.182.143.214,156.143.60.181,Unknown,TCP,50743
2025-10-21 13:00:57,52.182.143.214,156.143.60.181,Unknown,TCP,50743
2025-10-21 13:00:57,156.143.60.181,52.182.143.214,Unknown,TCP,443
2025-10-21 13:00:57,52.182.143.214,156.143.60.181,Unknown,TCP,50743
2025-10-21 13:00:57,156.143.60.181,52.182.143.214,Unknown,TCP,443
2025-10-21 13:00:57,156.143.60.181,52.182.143.214,Unknown,TCP,443
2025-10-21 13:00:57,156.143.60.181,52.182.143.214,Unknown,TCP,443
2025-10-21 13:00:57,52.182.143.214,156.143.60.181,Unknown,TCP,50743
2025-10-21 13:00:57,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:00:57,151.101.3.6,156.143.60.181,Unknown,TCP,61173
2025-10-21 13:00:57,151.101.3.6,156.143.60.181,Unknown,TCP,61173
2025-10-21 13:00:57,151.101.3.6,156.143.60.181,Unknown,TCP,61173
2025-10-21 13:00:57,156.143.60.181,151.101.3.6,Unknown,TCP,443
2025-10-21 13:00:57,156.143.60.181,151.101.3.6,Unknown,TCP,443
2025-10-21 13:00:57,156.143.60.181,151.101.3.6,Unknown,TCP,443
2025-10-21 13:00:57,156.143.60.181,10.102.8.98,shrek19.fu.campus,UDP,53
2025-10-21 13:00:57,10.102.8.98,156.143.60.181,Unknown,UDP,57759
2025-10-21 13:00:57,156.143.60.181,10.1.16.2,Unknown,TCP,80
2025-10-21 13:00:57,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:00:57,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:00:58,156.143.60.181,10.1.16.2,Unknown,TCP,80
2025-10-21 13:00:58,156.143.60.181,17.253.7.65,usatl4-edge-get-001.a.aaplimg.com,UDP,443
2025-10-21 13:00:58,156.143.60.181,17.253.7.65,usatl4-edge-get-001.a.aaplimg.com,UDP,443
2025-10-21 13:00:58,156.143.60.181,10.102.8.98,shrek19.fu.campus,UDP,53
2025-10-21 13:00:58,10.102.8.98,156.143.60.181,Unknown,UDP,60766
2025-10-21 13:00:58,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:58,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:58,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:58,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:58,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:58,156.143.60.181,17.253.7.65,usatl4-edge-get-001.a.aaplimg.com,UDP,443
2025-10-21 13:00:58,156.143.60.181,17.253.7.65,usatl4-edge-get-001.a.aaplimg.com,UDP,443
2025-10-21 13:00:58,156.143.60.181,17.253.7.65,usatl4-edge-get-001.a.aaplimg.com,UDP,443
2025-10-21 13:00:58,156.143.60.181,17.253.7.65,usatl4-edge-get-001.a.aaplimg.com,UDP,443
2025-10-21 13:00:58,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:58,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:58,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:58,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:58,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:58,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:58,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:58,156.143.60.181,17.253.7.65,usatl4-edge-get-001.a.aaplimg.com,UDP,443
2025-10-21 13:00:58,156.143.60.181,17.253.7.65,usatl4-edge-get-001.a.aaplimg.com,UDP,443
2025-10-21 13:00:58,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:58,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:58,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:58,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:58,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:58,156.143.60.181,17.253.7.65,usatl4-edge-get-001.a.aaplimg.com,UDP,443
2025-10-21 13:00:58,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:58,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:58,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:58,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:58,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:58,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:58,156.143.60.181,17.253.7.65,usatl4-edge-get-001.a.aaplimg.com,UDP,443
2025-10-21 13:00:58,156.143.60.181,17.253.7.65,usatl4-edge-get-001.a.aaplimg.com,UDP,443
2025-10-21 13:00:58,156.143.60.181,17.253.7.65,usatl4-edge-get-001.a.aaplimg.com,UDP,443
2025-10-21 13:00:58,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:58,17.253.7.65,156.143.60.181,Unknown,UDP,53826
2025-10-21 13:00:59,17.253.7.65,156.143.60.181,Unknown,UDP,53826
